Sample Substrate Data Set,,,,,,,
Substrates,D-Glucose,D-Galactose,D-maltose,,,,
C. auris 0390,1.598,0.091111,1.231444444,,,,
C. duobushaemulonii 0391,1.213111111,0.722,0.964444444,,,,
C. haemulonii 0393,1.395111111,0.447333333,0.897666667,,,,
C. haemulonii 0395,1.471555556,0.450111111,0.431666667,,,,
Kodameae ohmeri 0396,1.647333333,1.722222222,1.761111111,,,,
Candida krusei 0397,1.233,0.850111111,0.797888889,,,,
Candida Lusitaniae 0398,1.517111111,0.816444444,1.313111111,,,,
Sacharomyces cerevisiae 0399,1.239666667,1.341777778,1.190444444,,,,
,,,,,,,
,,,,,,,
,This is not complete data set just a sample for demonstration purposes,,,,,,
